Name	Emittent	ISIN
AIRLINES, HOTELS, CRUISE LINES ETF 	HANetf Management Ltd. 	IE00BMFNW783 
AIS INDEX US CORP SRI 	Amundi Luxembourg S.A. 	LU2297533809 
AIS INDEX US CORP SRI 	Amundi Luxembourg S.A. 	LU1806495575 
AIS-AM.E.L.S.F.EOC 	Amundi Luxembourg S.A. 	LU1681041544 
AIS-AM.GL.EM.B.M.I.DR DLC 	Amundi Luxembourg S.A. 	LU1681041205 
AIS-AM.US T.1-3 UE DR DLC 	Amundi Luxembourg S.A. 	LU1681040819 
AIS-AM.US.T.3-7 UE DR DLC 	Amundi Luxembourg S.A. 	LU1681040736 
AIS-ITALY MIB ESG DREOA 	Amundi Luxembourg S.A. 	LU1681037518 
ALERIAN MIDSTREAM ENERGY DIVIDEND ETF 	HANetf Management Ltd. 	IE00BKPTXQ89 
AMUNDI ETF DAX DR 	Amundi Asset Management 	FR0010655712 
AMUNDI INDEX EURO AGG SRI 	Amundi Luxembourg S.A. 	LU2182388236 
AMUNDI INDEX EURO CORPORATE SRI 0-3 Y 	Amundi Luxembourg S.A. 	LU2037748774 
AMUNDI IS AMUNDI ER IST CLM PRS ALGD PAB 	Amundi Luxembourg S.A. 	LU2182388582 
AMUNDI IS AMUNDI EURO CORP 0-1Y ESG 	Amundi Luxembourg S.A. 	LU2300294316 
AMUNDI IS AMUNDI MSCI EMU ESG UVS SLT 	Amundi Luxembourg S.A. 	LU2109786827 
AMUNDI IS AMUNDI MSCI EMU SRI PAB 	Amundi Luxembourg S.A. 	LU2109787635 
AMUNDI IS AMUNDI MSCI ER CLM PRS ALG PAB 	Amundi Luxembourg S.A. 	LU2182388319 
AMUNDI IS AMUNDI MSCI EUROPE SRI PAB 	Amundi Luxembourg S.A. 	LU1861137484 
AMUNDI IS AMUNDI MSCI USA SRI PAB 	Amundi Luxembourg S.A. 	LU1861136247 
AMUNDI IS AMUNDI SMART CITY ETF 	Amundi Luxembourg S.A. 	LU2037748345 
AMUNDI IS AMUNDI SMART FACTORY ETF 	Amundi Luxembourg S.A. 	LU2037749822 
AMUNDI IS BBB EURO CORP INVM GRD ESG 	Amundi Luxembourg S.A. 	LU1681041387 
AMUNDI IS CAC 40 	Amundi Luxembourg S.A. 	LU1681046931 
AMUNDI IS EQ GLBL MLT SMRT ALLC SCI BETA 	Amundi Luxembourg S.A. 	LU1602145119 
AMUNDI IS EURO CORP BBB 1-5 	Amundi Luxembourg S.A. 	LU1525418643 
AMUNDI IS EURO CORPORATE SRI 	Amundi Luxembourg S.A. 	LU1681039647 
AMUNDI IS EURO CORPORATE SRI 	Amundi Luxembourg S.A. 	LU1437018168 
AMUNDI IS EURO HIGH YIELD BOND ESG 	Amundi Luxembourg S.A. 	LU1681040496 
AMUNDI IS EURO STOXX 50 	Amundi Luxembourg S.A. 	LU1681047319 
AMUNDI IS EURO STOXX 50 	Amundi Luxembourg S.A. 	LU1681047236 
AMUNDI IS FLOATING RATE EURO CORP ESG 	Amundi Luxembourg S.A. 	LU1681041114 
AMUNDI IS FLOATING RATE USD CORP ESG 	Amundi Luxembourg S.A. 	LU1681041031 
AMUNDI IS FLOATING RATE USD CORP ESG 	Amundi Luxembourg S.A. 	LU1681040900 
AMUNDI IS FTSE EPRA EUROPE REAL ESTATE 	Amundi Luxembourg S.A. 	LU1681039480 
AMUNDI IS FTSE EPRA NAREIT GLOBAL 	Amundi Luxembourg S.A. 	LU1437018838 
AMUNDI IS GOVT BOND EURMTS BRD INVM GRD 	Amundi Luxembourg S.A. 	LU1681046261 
AMUNDI IS GVT BD HGHST RTD ERMTS INVMGR 	Amundi Luxembourg S.A. 	LU1681046691 
AMUNDI IS GVT BD LWST RTD ERMTS INVM GR 	Amundi Luxembourg S.A. 	LU1681046857 
AMUNDI IS GVT BD LWST RTD ERMTS INVM GR 	Amundi Luxembourg S.A. 	LU1681046774 
AMUNDI IS JAPAN TOPIX 	Amundi Luxembourg S.A. 	LU1681037864 
AMUNDI IS JP MORGAN EMU GOVIES 	Amundi Luxembourg S.A. 	LU1737653714 
AMUNDI IS JP MORGAN EMU GOVIES 	Amundi Luxembourg S.A. 	LU1437018598 
AMUNDI IS JP MORGAN GBI GLOBAL GOVIES 	Amundi Luxembourg S.A. 	LU1708330235 
AMUNDI IS JP MORGAN GBI GLOBAL GOVIES 	Amundi Luxembourg S.A. 	LU1437016204 
AMUNDI IS JPX-NIKKEI 400 	Amundi Luxembourg S.A. 	LU1681039134 
AMUNDI IS JPX-NIKKEI 400 	Amundi Luxembourg S.A. 	LU1681038912 
AMUNDI IS MSCI CHINA 	Amundi Luxembourg S.A. 	LU1681043912 
AMUNDI IS MSCI EASTERN EUROPE EX RUSSIA 	Amundi Luxembourg S.A. 	LU1681043755 
AMUNDI IS MSCI EM ASIA 	Amundi Luxembourg S.A. 	LU1681044480 
AMUNDI IS MSCI EM LATIN AMERICA 	Amundi Luxembourg S.A. 	LU1681045024 
AMUNDI IS MSCI EMERGING MARKETS 	Amundi Luxembourg S.A. 	LU1737652583 
AMUNDI IS MSCI EMERGING MARKETS 	Amundi Luxembourg S.A. 	LU1437017350 
AMUNDI IS MSCI EMERGING MARKETS SRI PAB 	Amundi Luxembourg S.A. 	LU1861138961 
AMUNDI IS MSCI EMERGINGMARKETS 	Amundi Luxembourg S.A. 	LU1681045370 
AMUNDI IS MSCI EUROPE 	Amundi Luxembourg S.A. 	LU1437015735 
AMUNDI IS MSCI EUROPE ESG BROAD CTB 	Amundi Luxembourg S.A. 	LU1681042609 
AMUNDI IS MSCI EUROPE MINIMUM VOL FCTR 	Amundi Luxembourg S.A. 	LU1681041627 
AMUNDI IS MSCI EUROPE MOMENTUM FACTOR 	Amundi Luxembourg S.A. 	LU1681041460 
AMUNDI IS MSCI EUROPE QUALITY FACTOR 	Amundi Luxembourg S.A. 	LU1681041890 
AMUNDI IS MSCI INDIA 	Amundi Luxembourg S.A. 	LU1681043086 
AMUNDI IS MSCI JAPAN 	Amundi Luxembourg S.A. 	LU1602144732 
AMUNDI IS MSCI JAPAN SRI PAB 	Amundi Luxembourg S.A. 	LU2233156749 
AMUNDI IS MSCI NORDIC 	Amundi Luxembourg S.A. 	LU1681044647 
AMUNDI IS MSCI NORTH AMERICA 	Amundi Luxembourg S.A. 	LU1737653045 
AMUNDI IS MSCI NORTH AMERICA 	Amundi Luxembourg S.A. 	LU1437016543 
AMUNDI IS MSCI SWITZERLAND 	Amundi Luxembourg S.A. 	LU1681044720 
AMUNDI IS MSCI USA 	Amundi Luxembourg S.A. 	LU1681042864 
AMUNDI IS MSCI USA MINIMUM VOLATIL FAC 	Amundi Luxembourg S.A. 	LU1589349734 
AMUNDI IS MSCI WORLD 	Amundi Luxembourg S.A. 	LU1737652237 
AMUNDI IS MSCI WORLD 	Amundi Luxembourg S.A. 	LU1437016972 
AMUNDI IS MSCI WORLD CLMT PARIS ALGN PAB 	Amundi Luxembourg S.A. 	LU2182388400 
AMUNDI IS MSCI WORLD ENERGY 	Amundi Luxembourg S.A. 	LU1681046006 
AMUNDI IS MSCI WORLD ETF 	Amundi Luxembourg S.A. 	LU1681043599 
AMUNDI IS MSCI WORLD EX EUROPE 	Amundi Luxembourg S.A. 	LU1681045537 
AMUNDI IS MSCI WORLD SRI PAB 	Amundi Luxembourg S.A. 	LU1861134382 
